filename,generated answer,true initial value,factor 1,factor 2,factor 3,factor 4,factor 5,factor 6
1 McDonald's.pdf-all_items_item_5,,"$45,000",,,,,,
3 KFC.pdf-all_items_item_5.txt,"$ 45 , 000","$45,000",,,,,,
4 Burger King.pdf-all_items_item_5.txt,"$ 25 , 000","$50,000","$25,000 (conditional FSS)","$15,000 (shorter period)",,,,
5 Ace Hardware.pdf-all_items_item_5.txt,"$ 5 , 000","$10,000","$5,000 (stock Fee )","$5,000(waivable adminfee",,,,
6 Chick-fil-A.pdf-all_items_item_5.txt,we,$0,,,,,,
7 Subway.pdf-all_items_item_5.txt,"$ 1 , 000","$15,000","$7,500(conditions)",$5000 (satellite franchise fee),$1000 (short term satellite fee),,,
8 Domino's.pdf-all_items_item_5.txt,"$ 0 to $ 10 , 000","$10,000",$1500 (exisitng store transfer),,,,,
9 Circle K.pdf-all_items_item_5.txt,"$ 25 , 000","$25,000","$15,000 per store(2-5 stores)","$10,000 per store(6-9store)","$7,500(10-19 stores)","$5,000 (20 stores)",,
10 Taco Bell.pdf-all_items_item_5.txt,"$ 22 , 500","$22,500",,,,,,
11 Wendy's.pdf-all_items_item_5.txt,"$ 20 , 000","$50,000.",,,,,,
12 Pizza Hut.pdf-all_items_item_5.txt,"$ 25 , 000","$25,000",,,,,,
13 REMAX.pdf-all_items_item_5.txt,"$ 25 , 000","$35,000(high density)","$17,500(low density)","$25,000(commercial)",,,,
14 Dunkin'.pdf-all_items_item_5.txt,"$ 0 to $ 90 , 000","$90,000( Type1)","$80,000(type 2)","$70,000(type3)","$60,000(type 4)","$50,000(type 5)","$40,000(type 6)",
15 Keller Williams.pdf-all_items_item_5.txt,"$ 35 , 000","$35,000",,,,,,
16 Tim Hortons.pdf-all_items_item_5.txt,"$ 25 , 000","$50,000(STANDARD)","$25,000(NON STANDARD)",,,,,
17 Panera Bread.pdf-all_items_item_5.txt,thirty - five thousand dollars,"$35,000 ",,,,,,
18 Popeyes Louisiana Kitchen.pdf-all_items_item_5.txt,"$ 50 , 000","$50,000",,,,,,
19 Dairy Queen.pdf-all_items_item_5.txt,"$ 45 , 000","$45,000",,,,,,
20 Sonic Drive-In.pdf-all_items_item_5.txt,"up to $ 30 , 000","$45,000(traditional)","$22,500(non traditional)",,,,,
21 Little Caesars.pdf-all_items_item_5.txt,"$ 20 , 000","$20,000",,,,,,
22 Papa John's.pdf-all_items_item_5.txt,"$ 5 , 000 to $ 25 , 000",$5000-$25000,,,,,,
23 Arby's.PDF-all_items_item_5.txt,"$ 37 , 500"," $37,500(standard)","$18,750 (non standard)",,,,,
